"Sygnatura czasowa","Płeć","Wiek","Wykształcenie","W jakiej branży pracujesz?","Jakie stanowisko zajmujesz?","Gdzie mieszkasz?","Czy mieszkasz w Polsce, czy za granicą?","Jak korzystasz z „Więzi”? ","Czy jesteś Prenumeratorką/Prenumeratorem „Więzi”?","Co by Cię zachęciło do prenumeraty? ","Z jakiego rodzaju prenumeraty korzystasz?","Jeśli prenumerujesz „Więź”, szczególnie wspierasz naszą działalność. Co Cię do tego skłania?","Od jak dawna sięgasz po kwartalnik „Więź”?","Jak często odwiedzasz Więź.pl?","Należysz do grona Patronów i Darczyńców „Więzi”? Jeśli tak, napisz w kilku słowach, dlaczego wspierasz naszą działalność.","Skąd dowiedziałaś/dowiedziałeś się o „Więzi” – piśmie lub portalu?","Sięgasz po nasz kwartalnik lub czytasz nasz portal, bo „Więź”… (wybierz 1-3 odpowiedzi)","Co najchętniej czytasz w kwartalniku „Więź” (wybierz 1-3 odpowiedzi)?","Czego nie czytasz w kwartalniku „Więź” (wybierz 1-3 odpowiedzi)?","Czy czytasz treści dostępne tylko na Więź.pl (niepochodzące z kwartalnika)?","Dlaczego? ","Jaką kategorię treści najczęściej czytasz na Więź.pl?","Które z tematów obecnych na Więź.pl są dla Ciebie samej/samego najważniejsze (wybierz 1-5 odpowiedzi)?","Jakiego rodzaju tekstów (gatunki dziennikarskie) chcesz czytać więcej na Więź.pl (wybierz 1-3 odpowiedzi)? ","Na jakie tematy według Ciebie piszemy na Więź.pl za mało (wybierz 1-3 odpowiedzi)?","Jakich treści brakuje Ci na Więź.pl? ","W których mediach społecznościowych obserwujesz „Więź”?","Na których platformach Twoim zdaniem brakuje „Więzi""?","Zaznacz w skali od 1 do 10, gdzie 0 oznacza decydowanie nie, a 10 zdecydowanie tak.","Czy słuchasz regularnie podcastów?","Jakich podcastów słuchasz regularnie?","Czy subskrybujesz kanały na YouTube?","Jeśli tak, jakie to kanały?","Jakie są Twoje ulubione profile, które obserwujesz na Facebooku?","Jeśli masz jakieś sugestie lub uwagi, to prosimy podziel się nimi tutaj."
"2021/12/11 10:58:53 PM CET","Mężczyzna","51-65","Wyższe","IT","Dyrektor/ka","Miasto powyżej 500 tys.","W Polsce","Czytam cyfrowe wydanie kwartalnika na Więź.pl (mam wykupiony dostęp);Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Tak","","Rocznej prenumeraty druk + cyfra","Czytanie wartościowych tekstów i promowanie bliskich mi poglądów.","Od 2-3 lat","Kilka razy w miesiącu","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej","Społeczny temat numeru;Felieton Michała Zioły;Recenzje książek","Różnie","Tak","","Wiadomości","Kryzys Kościoła;Papież Franciszek;Wiara","Publicystka historyczna;Publicystyka religijna;Reportaż","Inne religie;Społeczeństwo","","Facebook","","7","Tak","Mnóstwo. Głównie ekonomicznych","Tak","","",""
"2021/12/11 11:18:43 PM CET","Mężczyzna","36-50","Wyższe","Handel","Menadżer/ka/kierownik/czka","Miasto powyżej 500 tys.","W Polsce","Czytam tylko artykuły dostępne na Więź.pl bez wykupionego dostępu","Nie","","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Dział „Dzieci Abrahama”;Dział „Dziedziniec dialogu”","Religijny temat numeru","Tak","","Społeczeństwo","Antysemityzm;Demokracja;Kryzys Kościoła;Pedofilia w Kościele;Żydzi","Publicystka historyczna;Publicystyka społeczno-polityczna;Wiadomości kulturalne","Polityka","","Facebook","","10","Nie","","Tak","Stan po burzy","",""
"2021/12/11 11:54:21 PM CET","Kobieta","36-50","Wyższe","Administracja, księgowość i kadry","Specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam tylko artykuły dostępne na Więź.pl bez wykupionego dostępu","Nie, ale wspieram „Więź” poprzez darowizny","Wię ej czasu na czytanie","","","","","Bo poruszacie ważnw tematy szczerze-wiara i rozum idą w parze","Od bliskich/przyjaciół","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty","Religijny temat numeru","Czytam od deski do deski","Tak","Łatwiejszy dostęp","Wiara","Kryzys Kościoła;Papież Franciszek;Pedofilia w Kościele;Wiara","Publicystyka religijna;Publicystyka zagraniczna;Reportaż","Chyba wszystko jest. ","O siostrach zakonnych-trudnosci w zakinie i ich rozwiazaniae","Facebook","","10","Nie","","Nie","","ogólny więzi","Nie mam. "
"2021/12/12 12:59:19 AM CET","Kobieta","51-65","Wyższe","zarządzanie w dwóch branżach: zdrowie i produkcja.","Dyrektor/ka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","Nie mam czasu wgryzać się w duże materiały, więc krótkie streszczenie bym zaprenumerował.","","","","","","Nie wiem, nie pamietam.","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;Więź to jeden z uprawnionych katolickich punktów widzenia. Czytam też Christianitas z tych samych powodów, chociaż do Więzi mi bliżej.","Nie jestem przywiązany do żadnej rubryki.","Nie zgłaszam zastrzeżeń do żadnej rubryki","Tak","Brak czasu na kwartalnik.","Wiadomości","Biskupi;Demokracja;Dialog;Ewangelia;Kryzys Kościoła;Migracje, uchodźcy;Papież Franciszek;Pedofilia w Kościele","Publicystyka religijna;Publicystyka społeczno-polityczna;Wiadomości z Kościoła","Duchowość;Etyka;Filozofia;Gospodarka;Wiara","Budowanie mostów  także z głównym nurtem katolików.","Na żadnym z wymienionych","","8","Nie","","Nie","","","Nieobecność niezależnych politycznie katolików typu Marek Jurek,"
"2021/12/12 1:21:54 AM CET","Mężczyzna","36-50","Wyższe","Nauka","Specjalista/ka","Miasto od 150 tys. do 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam cyfrowe wydanie kwartalnika na Więź.pl (mam wykupiony dostęp)","Tak","","Rocznej prenumeraty druk + cyfra","Jakość tekstów.","Od roku","Codziennie","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;To „moje pismo” / „mój portal”;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Kulturalny temat numeru;Recenzje książek","Czytam od deski do deski","Nie","","Wiara","Biskupi;Ewangelia;Kryzys Kościoła;Kultura;Sztuka","Publicystyka społeczno-polityczna;Wiadomości z Kościoła;Wywiad","Społeczeństwo;Sztuka;Technologie","","Facebook","","10","Nie","","Nie","","",""
"2021/12/12 1:28:48 AM CET","Mężczyzna","Do 25","Średnie","Jeszcze się uczę/studiuję","Praktykant/ka/stażysta/ka","Miasto powyżej 500 tys.","W Polsce","Czytam tylko artykuły dostępne na Więź.pl bez wykupionego dostępu","Nie","","","","","","","deon.pl","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Dyskusje redakcyjne","Kulturalny temat numeru","Tak","","Wiara","Biskupi;Ewangelia;Kryzys Kościoła;Pedofilia w Kościele;Wiara","Publicystka historyczna;Publicystyka religijna;Wiadomości z Kościoła","Gospodarka;Technologie;Teologia","","Facebook","","9","Nie","","Nie","","",""
"2021/12/12 1:35:31 AM CET","Mężczyzna","Do 25","Wyższe","Edukacja","Praktykant/ka/stażysta/ka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika","Tak","Jakaś książka z wydawnictwa Więź","Rocznej prenumeraty druk + cyfra","Dobrze napisane, trafne teksty. Ciekawe autorki i autorzy. Cenię sobie szczególnie teksty Sebastiana Dudy.","Od 2-3 lat","Kilka razy w tygodniu","","Zaciekawiła mnie okładka/treść w punkcie sprzedaży","Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;To „moje pismo” / „mój portal”","Religijny temat numeru;Kulturalny temat numeru;Dział „Otwarta ortodoksja”","Dział „Z drugiej strony Bugu”","Tak","Często dotyczą bieżących spraw, kwartalnik, rzecz oczywista, nie ma takiej możliwości","Wiara","Ewangelia;Literatura;Wiara","Publicystyka religijna;Publicystyka kulturalna;Wiadomości z Kościoła","Filozofia;Literatura;Teologia","Przekładów zachodnich teologów","Facebook;Instagram","Można by ożywić profil instagramowy – wstawiać np. cytaty tekstów","10","Nie","","Nie","","od jakiegoś czasu Tomasz Terlikowski, Więź",""
"2021/12/12 4:26:19 AM CET","Kobieta","Ponad 65","Wyższe","Administracja, księgowość i kadry","Specjalista/ka","Miasto od 50 tys. do 150 tys.","Za granicą","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","Łatwość wykonania prenimersty","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Religijny temat numeru;Dział Historia;Dział „Dzieci Abrahama”","Czytam tylko okazyjnie na Facebooku i posyłam fslej","Tak","Bo nie mam wersji papoerowej","Wiara","Antysemityzm;Kryzys Kościoła;Pedofilia w Kościele;Wiara;Żydzi","Publicystyka społeczno-polityczna","","Niczego nie brakuje","Facebook","Nie znam","10","Tak","O Hellerz, Copernicus","Nie","","Co to dokładnie profil ?","Bon courage !!!"
"2021/12/12 7:42:29 AM CET","Mężczyzna","36-50","Wyższe","Budownictwo","Specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Religijny temat numeru;Kulturalny temat numeru;Dział Historia","Czytam od deski do deski","Nie","","Społeczeństwo","Antysemityzm;Biskupi;Demokracja;Dialog;Ewangelia;Film;Historia;Kryzys Kościoła;Kultura;Książka;Literatura;Migracje, uchodźcy;Pedofilia w Kościele;Poezja;Wiara;Żydzi","Publicystyka społeczno-polityczna;Publicystyka kulturalna;Publicystyka zagraniczna;Wiadomości kulturalne;Felieton","Filozofia","","Facebook;YouTube","","10","Nie","","Tak","","",""
"2021/12/12 8:50:23 AM CET","Kobieta","36-50","Wyższe","Administracja, księgowość i kadry","Specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam tylko artykuły dostępne na Więź.pl bez wykupionego dostępu","Nie","Inne tematy które mnie interesują","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru","Dział „Dziedziniec dialogu”;Felieton Michała Zioły;Edytorial","Tak","Nie chcę prenumerować kwartalnika","Wiara","Kryzys Kościoła;Książka;Literatura;Wiara","Publicystyka religijna;Publicystyka społeczno-polityczna;Publicystyka kulturalna","Duchowość;Literatura;Wiara","","Na żadnym z wymienionych","","8","Nie","","Tak","","Czytelnicze i poświęcone junk journalingowi",""
"2021/12/12 9:11:31 AM CET","Kobieta","36-50","Wyższe","Administracja, księgowość i kadry","Menadżer/ka/kierownik/czka","Miasto do 50 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Publikuje pogłębione i przystępne teksty","Religijny temat numeru;Felieton Michała Zioły","Dział „Dzieci Abrahama”","Tak","","Społeczeństwo","Biskupi;Ewangelia;Pedofilia w Kościele","Publicystyka religijna;Wiadomości z Kościoła;Reportaż","Duchowość","","Facebook","","7","Nie","","Tak","","",""
"2021/12/12 9:36:56 AM CET","Kobieta","51-65","Wyższe","psychoterapia i psychologia","Właściciel/ka","Miasto od 150 tys. do 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","nic","","","","","","wiedziam o was skądś , nie wiem skąd","patrzę co myślą ci inaczej myślący niż ja","Religijny temat numeru;Dyskusje redakcyjne","Społeczny temat numeru;Dział „Czytanie świata”;Felieton „Ksiądz z kobietą w kinie”;Recenzje książek;Felieton Jerzego Sosnowskiego","Nie","","Wydarzenia","Biskupi;Kryzys Kościoła","","Duchowość","","","","0","Nie","","Nie","","",""
"2021/12/12 10:07:34 AM CET","Mężczyzna","Do 25","Wyższe","Jeszcze się uczę/studiuję","Praktykant/ka/stażysta/ka","Miasto od 150 tys. do 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","Mniej artykułów kontestujących naukę katolicką, a najlepiej zero takich","","","","","","Wikipedia wiele lat temu","Czasem wpadnie mi w ręce artykuł na interesujący mnie temat","Religijny temat numeru","Nie patrzę na działy","Tak","Nie chcę wspierać finansowo medium z którym się nie zgadzam i które podkopuje katolicyzm","Wiadomości","Aborcja;Biskupi;Polityka","Publicystyka religijna","Duchowość;Teologia","Antyaborcyjnych, krytycznych wobec pariasów teologii katolickiej takich jak Hans Kung","Facebook","-","0","Nie","Żadnych, to nie mój styl","Nie","","Katolickie wschodnie, z memami","Pozbądźcie się elementu niekatolickiego"
"2021/12/12 10:40:57 AM CET","Mężczyzna","36-50","Wyższe","IT","Menadżer/ka/kierownik/czka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Religijny temat numeru","Kulturalny temat numeru","Tak","","Wiara","Antysemityzm;Biskupi;Demokracja;Dialog;Ewangelia;Historia;Kryzys Kościoła;LGBT;Papież Franciszek;Polityka;Unia Europejska;Wiara;Żydzi","Publicystka historyczna;Publicystyka religijna;Reportaż;Wywiad","Duchowość;Edukacja","","Na żadnym z wymienionych","","6","Nie","","Tak","","",""
"2021/12/12 12:41:15 PM CET","Mężczyzna","26-35","Wyższe","Produkcja","Menadżer/ka/kierownik/czka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie, ale regularnie kupuje „Więź”","","","","","","","Z prasy","Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty","Różnie","Różnie","Tak","Są interesujące","Wiara","Aborcja;Biskupi;Dialog;Ewangelia;Film;Historia;Kryzys Kościoła;Kultura;Papież Franciszek;Pandemia COVID-19;Pedofilia w Kościele;Polityka;Wiara;Żydzi","Publicystka historyczna;Publicystyka religijna;Publicystyka społeczno-polityczna;Publicystyka kulturalna;Publicystyka zagraniczna;Wiadomości kulturalne;Wiadomości z Kościoła;Wiadomości z kraju;Wiadomości ze świata;Wywiad","Duchowość;Edukacja;Gospodarka;Kościół;Technologie;Teologia","","Na żadnym z wymienionych","","8","Nie","","Tak","","",""
"2021/12/12 3:04:56 PM CET","Mężczyzna","36-50","Wyższe","Handel","Menadżer/ka/kierownik/czka","Miasto od 50 tys. do 150 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","Zapanowanie nad moim skąpstwem :)","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Dział Historia","Dyskusje redakcyjne","Tak","Nie wiem","Wiadomości","Antysemityzm;Demokracja;Ewangelia;Kryzys Kościoła;LGBT;Migracje, uchodźcy;Wiara;Żydzi","Publicystyka religijna;Publicystyka społeczno-polityczna;Wiadomości z kraju;Felieton","Technologie","Nie mam zastrzeżeń","Facebook","Nie wiem","10","Nie","","Nie","","",""
"2021/12/12 3:42:23 PM CET","Mężczyzna","36-50","Wyższe","Organizacja pozarządowa","Specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam tylko artykuły dostępne na Więź.pl bez wykupionego dostępu","Nie, ale wspieram „Więź” poprzez darowizny","","","","","","Bo chce wspierać rzetelne, krytyczne i pogłębione dziennikarstwo.","Od bliskich/przyjaciół","Publikuje pogłębione i przystępne teksty;To „moje pismo” / „mój portal”;Jest tytułem, z którym jestem związana/związany od lat","Społeczny temat numeru;Religijny temat numeru;Dział „Czytanie świata”","Felieton Michała Zioły;Felieton „Ksiądz z kobietą w kinie”","Tak","","Wiara","Ewangelia;Kryzys Kościoła;Migracje, uchodźcy","Publicystyka religijna;Publicystyka społeczno-polityczna;Reportaż","Duchowość;Literatura;Teologia","","Facebook;YouTube;Instagram","","10","Tak","Raport o stanie świata; Dział Zagraniczny, Podcastex","Tak","Kasia Gandor, Robert Makłowicz, Radosław Gajda i Natalia Szcześniak","",""
"2021/12/12 4:43:27 PM CET","Mężczyzna","51-65","Wyższe","Produkcja","Dyrektor/ka","Miasto od 150 tys. do 500 tys.","W Polsce","Czytam kwartalnik w wersji na czytniki (plik PDF, epub lub mobi);Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","uniezależnienie się od więzi politycznych ","","","","","","stary jestem, nie pamiętam","Opisuje świat z obcej mi perspektywy, wg mnie trudnej do pogodzenia z chrześcijaństwem; staram się zrozumieć ten szpagat","Religijny temat numeru;Dział „Otwarta ortodoksja”;Dział „Dziedziniec dialogu”","Felieton „Ksiądz z kobietą w kinie”;W galerii „Więzi”;Felieton Jerzego Sosnowskiego","Nie","","Wiara","Biskupi;Historia;Kryzys Kościoła;Wiara;Żydzi","Publicystka historyczna;Publicystyka religijna;Wiadomości z Kościoła","Kościół;Wiara","","Facebook","","3","Nie","","Nie","","",""
"2021/12/12 4:49:30 PM CET","Mężczyzna","26-35","Wyższe","Media","Menadżer/ka/kierownik/czka","Miasto powyżej 500 tys.","W Polsce","Czytam tylko artykuły dostępne na Więź.pl bez wykupionego dostępu","Nie","Więcej wolnego czasu. Dacie radę? :)","","","","","","Od bliskich/przyjaciół","Jest wiarygodna i rzetelna","Nie czytam.","Nie czytam.","Tak","","Wiara","Dialog;Kryzys Kościoła;Migracje, uchodźcy;Papież Franciszek;Pedofilia w Kościele","Publicystyka zagraniczna;Reportaż;Wywiad","Gospodarka","","Facebook","","5","Tak","Skądinąd, Raport o Stanie Świata, Co ćpać po odwyku","Nie","","Donald.pl, Tygodnik NIE, Polska w dużych dawkach - potrzebuję humoru",""
"2021/12/12 6:05:39 PM CET","Mężczyzna","51-65","Wyższe","Edukacja","Starszy/a specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie, ale wspieram „Więź” poprzez darowizny","","","","","","""Więź"" opisuje i reprezentuje tę część Kościoła, która jest mi bliska, do której chcę należeć.","Czytałem ""Więź"" długo przedtem, zanim powstało wydanie internetowe","Opisuje świat z perspektywy chrześcijańskiej;To „moje pismo” / „mój portal”;Pomaga mi wytrwać w Kościele;chętnie wybrałbym wszystkie odpowiedzi, ale skoro maja być najwyżej 3....","trudno powiedzieć, wszystkiego po trochu","nie czytam wszystkiego, ale też nie ma czegoś, czego bym nie czytał nigdy","Tak","","Społeczeństwo","Demokracja;Dialog;Wiara","Publicystyka religijna","Duchowość;Etyka","Ochrona środowiska, zagrożenie klimatyczne","Facebook","","10","Nie","","Tak","popularnonaukowe, niektóre religijne","związane z ochroną środowiska i opozycją polityczną",""
"2021/12/12 6:24:05 PM CET","Mężczyzna","26-35","Wyższe","Media","Specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie, ale regularnie kupuje „Więź”","niższa cena kwartalnika, dostęp do treści niedostępnych dla zwykłych czytelników, prezenty - książki","","","","","","Zaciekawiła mnie okładka/treść w punkcie sprzedaży","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Dział Historia","Dział „Z drugiej strony Bugu”;Felieton „Ksiądz z kobietą w kinie”;Recenzje książek;W galerii „Więzi”","Tak","bo komentują czasem szybciej rzeczywistość niż kwartalnik","Blogi","Ewangelia;Kryzys Kościoła;Papież Franciszek;Pedofilia w Kościele;Polityka","Publicystka historyczna;Publicystyka religijna;Felieton;Wywiad","Duchowość;Sport;Wiara","","Facebook","wyróżnienia się","8","Nie","","Tak","kilka religijnych","nie wchodzę ostatnio na facebooka",""
"2021/12/12 6:30:50 PM CET","Kobieta","36-50","Wyższe","Kultura i sztuka","Menadżer/ka/kierownik/czka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","Niższa cena","","","","","","Od bliskich/przyjaciół","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Kulturalny temat numeru","Czytam od deski do deski","Tak","Są ciekawe na tle internetowego hałasu","Społeczeństwo","Biskupi;Demokracja;Kryzys Kościoła","Publicystyka społeczno-polityczna;Wiadomości ze świata","Filozofia;Sztuka","Pozwalajàcych porównac sytuację w Polsce z innymi krajami","Facebook;Twitter","?","9","Nie","Nie slucham","Nie","","Publicystów spoleczno-kulturalnych, naukowców nauk społ. i human.",""
"2021/12/12 6:37:35 PM CET","Mężczyzna","51-65","Wyższe","Edukacja","Dyrektor/ka","Miasto od 150 tys. do 500 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","Od bliskich/przyjaciół","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty;Jest tytułem, z którym jestem związana/związany od lat","Religijny temat numeru;Dział „Otwarta ortodoksja”;Recenzje książek","Felieton Jakuba Wygnańskiego;Felieton Michała Zioły;Edytorial","Nie","","Wiara","Antysemityzm;Wiara;Żydzi","Publicystyka religijna;Publicystyka kulturalna;Wiadomości z Kościoła","Duchowość;Inne religie;Literatura","","Twitter","","8","Nie","","Nie","","",""
"2021/12/12 6:52:20 PM CET","Kobieta","Ponad 65","Wyższe","emeryt","Właściciel/ka","Miasto do 50 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam kwartalnik w wersji na czytniki (plik PDF, epub lub mobi)","Tak","Tematyka, poprawna polszczyzna artykułów.","Rocznej prenumeraty sponsorskiej druk + cyfra","Lubię Waszą działalność","Od 2-3 lat","Kilka razy w miesiącu","Popieram sensowne przedsięwzięcia, dające możliwość rozwoju.","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty","Społeczny temat numeru;Dział „Czytanie świata”;Dyskusje redakcyjne","Czytam od deski do deski","Tak","Dla poszerzenia horyzontów.","Blogi","Demokracja;Dialog;Kryzys Kościoła;Kultura;Polityka","Publicystyka społeczno-polityczna;Felieton;Reportaż","Technologie","Nie wiem.","Twitter","nie wiem","10","Nie","","Nie","","brak","Wolę czytać niż słuchać."
"2021/12/12 7:16:50 PM CET","Mężczyzna","36-50","Wyższe","Bankowość","Menadżer/ka/kierownik/czka","Miasto powyżej 500 tys.","W Polsce","Czytam kwartalnik w wersji na czytniki (plik PDF, epub lub mobi);Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie, ale wspieram „Więź” poprzez Patronite","","","","","","Żeby był obecny głos katolicyzmu otwartego na człowieka","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Artykuły ks. Draguły","Na część treści nie starcza mi czasu","Tak","Łatwość dostępu przez feed na Facebooku","Wiara","Ewangelia;Kryzys Kościoła;Migracje, uchodźcy;Papież Franciszek;Wiara","Publicystyka religijna;Felieton;Reportaż","Nie mam zdania","","Facebook","","10","Nie","","Tak","Muzyczne, o nba","Więź, Tygodnik Powszechny, Polityka, NBA, ",""
"2021/12/12 8:20:18 PM CET","Mężczyzna","26-35","Wyższe","Bankowość","Starszy/a specjalista/ka","Miasto od 150 tys. do 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Kulturalny temat numeru","Czytam od deski do deski","Tak","","Wiara","Aborcja;Biskupi;Kryzys Kościoła;LGBT;Unia Europejska","Publicystyka religijna;Publicystyka społeczno-polityczna;Wiadomości z Kościoła","Gospodarka;Wiara","","Facebook","","10","Nie","","Nie","","",""
"2021/12/12 8:48:58 PM CET","Mężczyzna","51-65","Wyższe","Edukacja","Starszy/a specjalista/ka","Wieś","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","cztram Więź od lat 80-tych - zobaczyłem numer w kiosku","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty;Jest tytułem, z którym jestem związana/związany od lat","Kulturalny temat numeru;Dział Historia;Dyskusje redakcyjne","Czytam od deski do deski","Nie","","Historia","Antysemityzm;Historia;Kryzys Kościoła","Publicystka historyczna;Publicystyka kulturalna;Publicystyka zagraniczna","Edukacja;Gospodarka;Sztuka","","Na żadnym z wymienionych","","10","Nie","","Nie","","",""
"2021/12/12 9:18:30 PM CET","Kobieta","36-50","Wyższe","nauka i szkolnictwo wyższe","Starszy/a specjalista/ka","Miasto do 50 tys.","W Polsce","Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Nie","","","","","","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Jest wiarygodna i rzetelna;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Kulturalny temat numeru;Recenzje książek","Dział „Z drugiej strony Bugu”","Tak","","Kultura","Kryzys Kościoła;Migracje, uchodźcy;Pedofilia w Kościele","Publicystyka społeczno-polityczna;Publicystyka kulturalna;Wiadomości kulturalne;Reportaż","Edukacja","","Facebook;Instagram","","10","Nie","","Nie","","",""
"2021/12/12 9:29:45 PM CET","Kobieta","26-35","Wyższe","NGO","Specjalista/ka","Miasto powyżej 500 tys.","W Polsce","Czytam papierowe wydanie kwartalnika;Czytam artykuły na Więź.pl dostępne bez wykupionego dostępu","Tak i wspieram „Więź” poprzez darowizny","","Rocznej prenumeraty druk + cyfra","Ludzie Więzi","Od 3-5 lat","Rzadko, nieregularnie","","Z mediów społecznościowych (Facebook, Twitter, Instagram)","Opisuje świat z perspektywy chrześcijańskiej;Publikuje pogłębione i przystępne teksty;Pomaga mi wytrwać w Kościele","Społeczny temat numeru;Religijny temat numeru;Felieton Jakuba Wygnańskiego;Dyskusje redakcyjne;Recenzje książek;Edytorial","W galerii „Więzi”;Felieton Jerzego Sosnowskiego","Tak","Dotyczą bieżących spraw","Społeczeństwo","Biskupi;Demokracja;Dialog;Kryzys Kościoła;Pedofilia w Kościele","Publicystyka religijna;Publicystyka społeczno-polityczna;Publicystyka kulturalna;Wiadomości z Kościoła","Duchowość","","Facebook;Spotify","","10","Tak","Glownie zagraniczny, newsowych (bbc, guardian, economist itp.)","Tak","","","Dzięki, że jesteście!"
